Username,Text
nha_mlonk93,Alhamdulillah SDH cair semua🤗
amin_best30,Admin gimana nih insentif yang di dasboard berhasil di transfer tpi d ovo ngga masuk . Udah nelfon cs udah spam email tapi ngga ada tanggepan sama sekali
ntlutfiani,Saya sudah menyelesaikan pelatihan tp di dashboard status masih aktif. Kenapa?
sb_dimas13,Apa nanti ada gelombang selanjutnya?? Saya belum dapet
arie_ismail12,Jadwal intensif seharusnya 21 Desenber 2020 tiba-tiba berubah jadi tanggal 6 Januari 2021
ninavivies,"min, kenapa status insentif saya dibuat ""e-wallet belum KYC? padahal saya pakai rekening BNI"
annastikpisang_jambi,"Min, kenapa insentif survei saya statusnya berhasil tapi tidak masuk ke e-wallet saya?"
nuk.arly,"Admin, insentif di dashboard prakerja sudah di transfer tapi kenapa belum masuk ke ovo ya?"
beielye,Yang harusnya cair tgl 26 November dialihkan ke 6 Januari itu bagaimana ya? Kok bisa?
boncel7346,Kok jadwal insentif saya beruabh ke 7 Januari padahal 29 Desember
myu_officiall,"Punya  saya insentif tgl 14  desember di dasbord berhasil di tranfer tapi di gopay tidak ada gimna  min,  sampai tgl 24  desember tidak ada saya cek  berulang-ulang.sudah 10  hari tidak ada."
ekopriyotomo67,"Glombang selanjut nya kpn di buka,"
abdurrrohman354,Trmpat saya harusnya tgal 1 januari kok mundurbtagal 8 😆😆
wayuntss,"Kok saya yg harusnya cari tgl 21des jadi ganti tgl cair ke 6jan, kenapa ya ka?"
gunawan_putra.99,Yah tadinya insetif saya yang terakhir tgl 29 desember 2020 sekarang berubah menjadi 7 januari 2021 🙄
chintyafaramitha,untuk pencairan dana kok mundur jadi januari ya ?dan ada tanda (-) .tidak tercantum gopay ?apa bermasalah ya min ?dan kemungkinan cair tidak ?
syntag_,"Kena korban insentif diundur😂😌 double pula, insentif ke 4 + survei ke 3"
wibiardhana,Basi capek daftar doang😂
daniel_rgs______liong_jr,Jadwal tgl 24 des..knp mndur.jdi tgl 6jnuari
atikahalbany,Ko punya aku jadwal tgl 26 jd tgl 7 januari ya min
riancandrian,Diketerangan sudah berhasil di transfer tapi ke e-wallet nya gak masuk 😂
nelsa_ahmad,Alhamdulillah smua insentif sudah cair🙏
dewiadriyani18,Daftar prakerja sdh 5 kali nya tp ga pernah berhasil padahal tdk bekerja sdngkan yg bekerja kok bisa ya🙏
nurissa_nsl,udh survey tapi ga dapat jadwal insentif survey pdahal udh seminggu yg lalu survey 😭
muhammad_ruum,@prakerja.go.id saya sdh selesai pelatihan dan memberikan rating di kemnaker namun di status dashboard pelatihan saya masih aktif?
